City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
College,90,US,1552969704,60,64.86,-147.8,46.4,8.05
Mandera,0,ET,1552970609,47,3.94,41.86,84.54,5.41
Hithadhoo,68,MV,1552970609,100,-0.6,73.08,84.54,4.18
Guerrero Negro,0,MX,1552970609,99,27.97,-114.04,51.87,7.54
Bilibino,76,RU,1552970610,61,68.06,166.44,-8.52,5.64
Ponta do Sol,0,BR,1552970610,90,-20.63,-46.0,65.91,2.73
Quesnel,1,CA,1552970432,74,52.98,-122.49,35.01,2.06
Linjiang,0,CN,1552970610,31,41.81,126.91,60.15,11.34
Qaanaaq,0,GL,1552970611,46,77.48,-69.36,-29.94,6.76
Karla,90,EE,1552970586,100,59.37,24.93,36.0,6.93
Pevek,68,RU,1552970611,79,69.7,170.27,-4.66,27.78
Hobart,75,AU,1552970239,64,-42.88,147.33,72.0,12.75
Cabinda,92,AO,1552970612,100,-5.56,12.19,76.26,12.68
Tasiilaq,12,GL,1552967400,85,65.61,-37.64,24.8,13.87
Qaqortoq,0,GL,1552967400,79,60.72,-46.03,23.0,18.34
New Norfolk,75,AU,1552970239,64,-42.78,147.06,72.0,12.75
Panama City,1,US,1552970308,41,30.16,-85.65,59.0,10.29
Fairbanks,90,US,1552969704,60,64.84,-147.72,42.8,8.05
Butaritari,80,KI,1552970613,100,3.07,172.79,81.57,17.72
Saint Anthony,1,US,1552970566,55,43.97,-111.68,35.6,3.36
Hilo,90,US,1552970423,53,19.71,-155.08,73.4,12.75
Pangai,76,TO,1552970614,100,-19.8,-174.35,80.49,5.97
Ornskoldsvik,20,SE,1552969200,79,63.29,18.72,23.0,11.41
Kruisfontein,92,ZA,1552970614,95,-34.0,24.73,68.16,4.41
Araouane,20,ML,1552970615,16,18.9,-3.53,59.97,5.41
Saldanha,0,PT,1552970615,89,41.42,-6.55,26.94,3.4
Inirida,68,CO,1552970615,95,3.87,-67.92,74.37,1.83
Longyearbyen,75,NO,1552967400,85,78.22,15.63,12.2,14.99
Port Alfred,68,ZA,1552970459,96,-33.59,26.89,70.0,1.99
Quang Ngai,0,VN,1552970353,62,15.12,108.8,85.17,3.18
Rikitea,80,PF,1552970606,100,-23.12,-134.97,78.6,19.17
Hofn,24,IS,1552970617,94,64.25,-15.21,42.06,28.12
Natal,20,BR,1552968000,88,-5.81,-35.21,80.6,3.36
Bambous Virieux,40,MU,1552970344,74,-20.34,57.76,84.2,11.41
Ushuaia,75,AR,1552968000,70,-54.81,-68.31,42.8,27.51
Nikolskoye,75,RU,1552970595,93,59.7,30.79,36.0,6.71
Saskylakh,36,RU,1552970618,78,71.97,114.09,-8.07,4.85
Ayagoz,0,KZ,1552970618,89,47.96,80.43,22.08,13.35
Busselton,36,AU,1552970412,21,-33.64,115.35,95.0,6.2
Anbu,0,CN,1552968000,65,23.45,116.68,77.0,4.47
Albany,90,US,1552970560,92,42.65,-73.75,33.01,6.93
Mizan Teferi,24,ET,1552970619,62,6.99,35.58,71.49,2.17
Cape Town,0,ZA,1552970291,93,-33.93,18.42,64.99,4.7
Vaini,0,IN,1552968000,20,15.34,74.49,84.2,11.41
Leh,76,IN,1552970620,83,34.16,77.58,6.87,2.06
Hobyo,68,SO,1552970620,80,5.35,48.53,81.3,15.03
Atuona,92,PF,1552970620,98,-9.8,-139.03,83.01,14.7
Victoria,75,BN,1552969800,88,5.28,115.24,87.8,2.24
Port Elizabeth,1,US,1552970618,78,39.31,-74.98,37.4,7.2
Buchanan,36,LR,1552970622,100,5.88,-10.05,79.68,4.29
Livingstonia,12,MW,1552970622,90,-10.61,34.11,75.27,5.3
Emba,20,CY,1552968000,87,34.81,32.42,53.6,6.93
Abbeville,64,FR,1552970549,100,50.11,1.83,37.99,3.36
Macapa,75,BR,1552968000,94,0.05,-51.07,77.0,4.7
Tiksi,0,RU,1552970623,68,71.64,128.87,-9.87,4.07
Mataura,0,NZ,1552970405,75,-46.19,168.86,66.99,5.99
Tuatapere,44,NZ,1552970405,75,-46.13,167.69,66.99,5.99
East London,56,ZA,1552970624,97,-33.02,27.91,75.81,11.12
Vagur,92,FO,1552970624,92,61.47,-6.81,46.47,26.44
Geraldton,75,CA,1552968000,86,49.72,-86.95,26.6,6.93
Tanout,24,NE,1552970625,26,14.97,8.88,73.65,10.22
Hayden,1,US,1552970620,64,47.77,-116.79,42.8,8.05
Xacmaz,88,AZ,1552970625,100,41.46,48.81,38.55,6.64
Chancay,0,PE,1552970531,83,-11.56,-77.27,70.0,8.05
Sitka,0,US,1552970626,36,37.17,-99.65,50.07,15.59
Kavaratti,0,IN,1552970626,100,10.57,72.64,82.11,6.87
Georgetown,88,GY,1552970425,88,6.8,-58.16,74.01,3.96
Slave Lake,1,CA,1552968000,69,55.28,-114.77,37.4,3.36
Hambantota,40,LK,1552968600,70,6.12,81.12,87.8,17.22
Hermanus,76,ZA,1552969900,90,-34.42,19.24,66.99,2.84
Bluff,0,AU,1552970629,52,-23.58,149.07,89.94,4.74
Punta Arenas,40,CL,1552970596,75,-53.16,-70.91,41.0,6.93
Taksimo,0,RU,1552970629,40,56.36,114.84,19.2,2.73
Avarua,48,CK,1552969800,83,-21.21,-159.78,82.4,3.36
Saint-Philippe,1,CA,1552970601,67,45.36,-73.48,21.99,2.24
Arraial do Cabo,0,BR,1552968000,88,-22.97,-42.02,77.0,5.82
Barra do Corda,88,BR,1552970630,92,-5.5,-45.25,75.99,5.86
Kapaa,40,US,1552970303,53,22.08,-159.32,73.4,14.99
Vredendal,92,ZA,1552970631,94,-31.68,18.49,60.78,3.85
Muriwai Beach,24,NZ,1552970630,88,-36.82,174.45,68.0,6.93
Necochea,8,AR,1552970188,59,-38.55,-58.74,60.01,3.0
Albion,90,US,1552970604,80,41.69,-98.0,37.99,4.7
Torbay,40,CA,1552970604,73,47.66,-52.73,23.0,11.41
Ust-Kuyga,0,RU,1552970632,75,70.0,135.55,-7.44,3.62
Flinders,75,AU,1552970542,69,-34.58,150.85,79.0,14.99
Tuktoyaktuk,90,CA,1552968000,92,69.44,-133.03,23.0,14.99
Miri,0,NG,1552970633,34,10.31,9.75,63.48,6.53
Puerto Ayora,12,EC,1552969875,93,-0.74,-90.35,75.99,5.75
Zhongxing,0,CN,1552970633,53,32.02,116.14,75.27,15.93
Kavieng,36,PG,1552970634,95,-2.57,150.8,86.16,11.01
Sao Joao da Barra,92,BR,1552970424,100,-21.64,-41.05,80.13,16.26
Surt,100,LY,1552970634,82,31.21,16.59,61.5,12.46
Ribeira Grande,24,PT,1552970634,100,38.52,-28.7,59.34,10.56
Chernogorsk,0,RU,1552968000,57,53.83,91.31,23.0,6.71
Lerdo,80,MX,1552969492,81,18.63,-95.52,66.99,1.99
Lavrentiya,12,RU,1552970635,85,65.58,-170.99,4.8,5.19
Matara,92,PE,1552970635,100,-13.74,-72.9,43.77,1.61
Husavik,48,CA,1552970414,92,50.56,-96.99,27.0,2.62
Micheweni,88,TZ,1552970636,100,-4.97,39.83,80.4,9.44
Kuloy,92,RU,1552970636,94,61.03,42.49,34.77,16.26
Xifeng,0,CN,1552970637,33,42.73,124.72,65.91,16.82
Laguna,0,MX,1552970637,74,27.52,-110.01,56.64,0.38
Nabire,32,ID,1552970546,76,-3.36,135.5,79.59,1.28
Isiro,92,CD,1552970637,92,2.77,27.62,69.24,2.73
Barrow,88,AR,1552970638,75,-38.31,-60.23,51.24,5.75
Najran,5,SA,1552968000,27,17.54,44.22,62.6,3.96
Sao Paulo de Olivenca,92,BR,1552970639,99,-3.38,-68.87,72.57,4.52
Wote,88,KE,1552970639,84,-1.78,37.63,69.87,3.74
Coquimbo,40,CL,1552968000,87,-29.95,-71.34,57.2,2.24
Airai,24,TL,1552970639,55,-8.93,125.41,83.91,2.51
Inuvik,40,CA,1552968000,85,68.36,-133.71,24.8,8.05
Immokalee,90,US,1552970619,82,26.42,-81.42,64.4,9.17
Ixtapa,20,MX,1552970420,88,20.71,-105.21,71.01,1.72
Pyay,0,MM,1552970640,41,18.82,95.22,95.43,4.18
Provideniya,90,RU,1552968000,92,64.42,-173.23,12.2,22.37
Neftegorsk,0,RU,1552970641,79,52.8,51.16,25.86,3.18
Zemio,0,CF,1552970641,74,5.02,25.13,76.62,3.96
San Patricio,36,PY,1552970641,92,-26.98,-56.83,65.1,1.95
Beloha,44,MG,1552970642,71,-25.17,45.06,79.86,4.52
Winnemucca,1,US,1552969838,39,40.97,-117.74,50.0,12.75
Broome,32,GB,1552970630,93,52.47,1.45,44.01,4.7
Thompson,40,CA,1552968000,86,55.74,-97.86,26.6,3.36
North Bend,1,US,1552970421,87,43.41,-124.22,53.01,3.36
Katsuura,90,JP,1552969270,93,33.93,134.5,50.0,12.75
Dharchula,32,IN,1552970644,73,29.85,80.53,43.32,1.05
Ahipara,56,NZ,1552970644,78,-35.17,173.16,71.04,5.53
Jamestown,48,AU,1552970645,81,-33.21,138.6,76.08,7.65
Itarema,24,BR,1552970645,92,-2.92,-39.92,74.55,3.06
Severo-Kurilsk,80,RU,1552970645,96,50.68,156.12,31.89,20.29
Kaitangata,0,NZ,1552970646,71,-46.28,169.85,65.37,5.3
Severnoye,0,RU,1552970646,89,54.09,52.54,30.54,3.29
Beringovskiy,0,RU,1552970646,89,63.05,179.32,-7.17,5.41
Omagh,80,GB,1552970646,96,54.6,-7.3,42.78,8.66
Yellowknife,20,CA,1552970437,74,62.45,-114.38,39.0,8.05
Upernavik,24,GL,1552970647,100,72.79,-56.15,-11.58,13.58
Port Augusta,64,AU,1552970611,53,-32.49,137.76,91.99,17.22
Caravelas,24,BR,1552970648,100,-17.73,-39.27,83.28,19.17
Cayenne,56,GF,1552969800,94,4.94,-52.33,73.4,7.09
Mahebourg,40,MU,1552970344,74,-20.41,57.7,84.2,11.41
Parnarama,68,BR,1552970649,93,-5.68,-43.09,75.45,2.51
Carnarvon,56,ZA,1552970649,82,-30.97,22.13,57.36,2.95
Kamina,36,CD,1552970649,85,-8.74,25.0,74.64,4.41
Mar del Plata,0,AR,1552970650,82,-46.43,-67.52,47.28,7.31
Mount Gambier,40,AU,1552968000,50,-37.83,140.78,78.8,12.75
Nizhniy Kuranakh,76,RU,1552970650,54,58.84,125.49,13.71,4.74
Verkhnevilyuysk,20,RU,1552970650,48,63.45,120.31,6.33,3.62
Bandarbeyla,68,SO,1552970651,100,9.49,50.81,77.7,11.23
Gladstone,76,AU,1552970351,62,-23.84,151.26,88.0,12.75
Tarko-Sale,48,RU,1552970571,72,64.92,77.78,28.99,5.01
Baykit,20,RU,1552970652,75,61.68,96.39,19.74,3.85
Brindisi,75,IT,1552970612,87,40.63,17.94,57.0,5.82
Lagoa,0,PT,1552970532,54,37.14,-8.45,55.99,1.12
San Cristobal,75,EC,1552969851,87,-0.39,-78.55,59.0,5.82
Nouadhibou,76,MR,1552968000,77,20.93,-17.03,62.6,17.22
Verbilki,75,RU,1552968000,86,56.53,37.6,37.4,8.95
Norman Wells,75,CA,1552968000,65,65.28,-126.83,41.0,2.73
Chuy,0,UY,1552970654,96,-33.69,-53.46,66.09,12.46
Maldonado,75,UY,1552968000,88,-34.91,-54.96,69.8,11.41
Lubu,56,CN,1552970654,79,23.17,112.28,77.61,7.65
Villa Bruzual,76,VE,1552970655,68,9.33,-69.12,76.26,4.29
Sinnamary,44,GF,1552970655,99,5.38,-52.96,78.06,8.43
Shebunino,90,RU,1552968000,92,57.66,40.04,35.6,11.18
Emerald,0,AU,1552970468,38,-23.53,148.16,93.2,9.17
Aki,75,JP,1552968960,76,33.51,133.91,51.8,12.75
Atbasar,0,KZ,1552970656,88,51.81,68.36,19.38,11.12
Sabang,64,PH,1552970657,78,13.72,123.58,82.83,12.8
Jiazi,75,CN,1552968000,69,19.61,110.49,82.4,8.95
Palmer,0,AU,1552970597,60,-34.85,139.16,89.01,14.99
Qasigiannguit,24,GL,1552967400,70,68.82,-51.19,-4.01,13.87
La Sarre,0,CA,1552970366,53,48.8,-79.2,-5.11,2.73
Lebu,0,ET,1552970658,45,8.96,38.73,64.47,4.07
Kaeo,20,NZ,1552970285,75,-35.1,173.78,69.01,5.99
Ellensburg,1,US,1552970435,74,47.0,-120.55,46.4,3.36
Yukamenskoye,0,RU,1552970659,67,57.89,52.24,29.46,4.41
Adre,0,TD,1552970660,17,13.47,22.2,68.7,14.03
Sorong,12,ID,1552970660,92,-0.86,131.25,85.8,9.33
Meulaboh,44,ID,1552970438,100,4.14,96.13,81.75,5.75
Schattdorf,75,CH,1552970651,86,46.86,8.65,33.8,3.36
Conde,0,BR,1552970629,94,-11.81,-37.61,79.59,7.76
Dongsheng,92,CN,1552970661,69,29.72,112.52,69.06,15.59
Portland,1,US,1552970619,35,45.52,-122.67,57.99,17.22
Mecca,0,SA,1552970425,48,21.43,39.83,77.79,3.18
Bredasdorp,80,ZA,1552969883,94,-34.53,20.04,68.0,3.36
Tupiza,12,BO,1552970662,74,-21.44,-65.72,28.47,2.17
Bonthe,12,SL,1552970662,91,7.53,-12.5,78.06,3.96
Roald,0,NO,1552970404,74,62.58,6.12,37.4,8.05
Codrington,56,AU,1552970577,40,-28.95,153.24,90.0,3.62
Ilulissat,24,GL,1552967400,70,69.22,-51.1,-4.01,13.87
Alofi,0,NU,1552968000,79,-19.06,-169.92,84.2,5.82
Yumen,76,CN,1552970664,52,40.29,97.04,45.12,3.62
Waipawa,0,NZ,1552970296,71,-39.94,176.59,66.99,4.0
Anloga,40,GH,1552968000,83,5.79,0.9,84.2,10.29
Agadez,0,NE,1552970664,32,16.97,7.99,71.04,10.56
Puerto Escondido,75,MX,1552967100,69,15.86,-97.07,82.4,7.2
Port Hedland,20,AU,1552968000,37,-20.31,118.58,100.4,9.17
Grand Gaube,40,MU,1552970643,74,-20.01,57.66,84.2,11.41
Rio Grande,32,BR,1552970665,100,-32.03,-52.1,70.86,11.45
Zaysan,0,KZ,1552970666,76,47.47,84.87,30.99,4.07
Hasaki,75,JP,1552970075,34,35.73,140.83,66.0,11.41
Chokurdakh,12,RU,1552970666,77,70.62,147.9,-11.94,5.75
Guarapari,75,BR,1552968265,94,-20.67,-40.5,78.8,4.7
Makurdi,0,NG,1552970667,82,7.73,8.54,77.88,8.99
Lusambo,48,CD,1552970667,94,-4.97,23.44,75.09,2.84
Hamilton,90,BM,1552970325,93,32.3,-64.78,59.0,13.87
Iqaluit,5,CA,1552970571,67,63.75,-68.52,-23.01,3.36
Kitovo,48,RU,1552970668,90,54.85,40.92,35.94,16.15
Phangnga,20,TH,1552969800,52,8.45,98.53,93.2,8.05
Bethel,1,US,1552967760,78,60.79,-161.76,19.4,13.87
Baoqing,32,CN,1552970670,32,46.32,132.2,50.7,8.66
Nanortalik,8,GL,1552970670,100,60.14,-45.24,20.1,36.84
Puerto Narino,75,CO,1552968000,100,-3.77,-70.38,75.2,3.36
Bontang,0,ID,1552970671,93,0.12,117.47,84.45,4.85
Otjimbingwe,64,NA,1552970671,69,-22.35,16.13,64.92,2.73
Tucurui,92,BR,1552970374,91,-3.77,-49.67,76.71,3.18
Nelson Bay,40,AU,1552970445,65,-32.72,152.14,79.0,10.29
Caceres,88,CO,1552970672,96,5.53,-74.53,66.27,1.16
Vanimo,32,PG,1552970672,100,-2.67,141.3,81.21,17.38
Chambersburg,1,US,1552970671,27,39.94,-77.66,37.4,3.36
Cabo San Lucas,5,MX,1552970125,64,22.89,-109.91,68.0,4.7
Kodiak,1,US,1552970643,13,39.95,-94.76,41.0,5.82
Dzhebariki-Khaya,0,RU,1552970673,43,62.22,135.8,8.22,3.4
Saint-Paul,90,FR,1552970415,100,45.22,1.9,39.99,5.82
Tiruchchendur,40,IN,1552968000,66,8.48,78.12,86.0,2.24
Owosso,1,US,1552970622,74,43.0,-84.18,33.8,4.41
Vila Velha,40,BR,1552970445,94,-3.71,-38.6,77.0,4.7
Piacabucu,12,BR,1552970674,88,-10.41,-36.43,77.07,6.64
Sidi Ali,12,DZ,1552970675,90,36.1,0.42,40.89,2.51
Havre-Saint-Pierre,1,CA,1552968000,72,50.23,-63.6,12.2,5.82
Kitgum,0,UG,1552970675,50,3.3,32.88,78.96,6.76
Boden,80,SE,1552969200,85,65.83,21.69,23.0,10.29
Padang,20,ID,1552968000,74,-0.92,100.36,86.0,4.7
Oranjemund,92,ZA,1552970677,98,-28.55,16.43,63.66,9.66
Guaymas,0,MX,1552970536,69,27.92,-110.9,64.0,1.01
San Quintin,0,PH,1552970677,49,17.54,120.52,88.77,4.41
Faanui,32,PF,1552970677,100,-16.48,-151.75,84.09,3.06
Oussouye,0,SN,1552970678,92,12.49,-16.54,68.79,10.22
Totolapa,92,MX,1552970678,100,20.56,-97.48,58.8,9.55
San Ramon,12,NI,1552970429,86,12.92,-85.84,66.99,3.0
Vytegra,80,RU,1552970679,95,61.01,36.45,33.6,7.76
Santa Cruz,20,US,1552970545,76,36.97,-122.03,62.6,8.05
La Baule-Escoublac,90,FR,1552970525,93,47.28,-2.4,45.0,3.36
Wanaka,20,NZ,1552970681,58,-44.7,169.14,67.26,1.95
Harper,40,US,1552970621,40,30.3,-99.24,55.0,4.7
Humaita,75,AR,1552968000,88,-24.93,-65.37,66.2,1.72
Port Macquarie,40,AU,1552970404,61,-31.43,152.91,77.0,14.99
Vardo,1,US,1552970671,69,39.62,-77.74,37.4,4.07
Mogadishu,0,SO,1552970682,98,2.04,45.34,81.84,18.61
Pangnirtung,12,CA,1552970683,32,66.15,-65.72,-22.56,10.22
Bathsheba,20,BB,1552968000,69,13.22,-59.52,77.0,14.99
Nizhniy Ingash,88,RU,1552970683,75,56.2,96.53,27.39,9.22
Usinsk,88,RU,1552970683,93,66.0,57.56,31.89,14.25
Bonavista,20,CA,1552969842,85,48.65,-53.11,19.99,4.0
Tangi,92,PK,1552970684,100,34.3,71.65,51.6,3.74
Dukat,0,RS,1552970450,72,42.44,22.31,42.01,1.01
Mtama,92,TZ,1552970684,98,-10.3,39.37,76.62,3.4
Vanavara,36,RU,1552970685,64,60.35,102.28,22.8,4.41
Kodinar,0,IN,1552970685,19,20.79,70.7,95.61,3.4
Santa Cruz de la Palma,8,ES,1552970462,67,28.68,-17.76,62.6,10.29
Reconquista,100,AR,1552970685,86,-29.14,-59.64,73.74,2.73
Talnakh,76,RU,1552970686,88,69.49,88.39,9.75,7.31
Rathdrum,75,IE,1552970614,93,52.93,-6.23,45.0,10.29
Akhmeta,90,GE,1552969800,88,42.03,45.21,41.0,20.8
Paamiut,64,GL,1552970686,100,61.99,-49.67,15.42,15.7
Tautira,20,PF,1552970592,74,-17.73,-149.15,84.2,6.93
Birin,0,SY,1552970687,73,35.01,36.67,53.85,3.96
Neuquen,0,AR,1552968000,47,-38.95,-68.06,57.2,13.87
Sorland,75,NO,1552969200,86,67.67,12.69,30.2,3.36
